"id","schema","table_name","variable_name","variable_type","IDI20200120","IDI20200720","IDI20201020","IDI20210420","collection","agency","description"
1,"acc_clean","claims","acc_cla_accident_calendar_year_nbr","smallint",1,1,1,1,"ACC Injury claims","ACC",NA
2,"acc_clean","claims","acc_cla_accident_date","date",1,1,1,1,"ACC Injury claims","ACC",NA
3,"acc_clean","claims","acc_cla_accident_in_NZ_ind","char",1,1,1,1,"ACC Injury claims","ACC",NA
4,"acc_clean","claims","acc_cla_accident_region_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
5,"acc_clean","claims","acc_cla_accident_ta_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
6,"acc_clean","claims","acc_cla_accredited_employer_ind","char",1,1,1,1,"ACC Injury claims","ACC",NA
7,"acc_clean","claims","acc_cla_activity_prior_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
8,"acc_clean","claims","acc_cla_age_at_accident_nbr","smallint",1,1,1,1,"ACC Injury claims","ACC",NA
9,"acc_clean","claims","acc_cla_at_work_ind","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
10,"acc_clean","claims","acc_cla_birth_month_nbr","tinyint",1,1,1,1,"ACC Injury claims","ACC",NA
11,"acc_clean","claims","acc_cla_birth_year_nbr","smallint",1,1,1,1,"ACC Injury claims","ACC",NA
12,"acc_clean","claims","acc_cla_claim_costs_to_date_ex_gst_amt","decimal",1,1,1,1,"ACC Injury claims","ACC",NA
13,"acc_clean","claims","acc_cla_classification_unit_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
14,"acc_clean","claims","acc_cla_classification_unit_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
15,"acc_clean","claims","acc_cla_client_earner_status_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
16,"acc_clean","claims","acc_cla_decision_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
17,"acc_clean","claims","acc_cla_employee_ird_invalid_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
18,"acc_clean","claims","acc_cla_entitlement_claim_ind","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
19,"acc_clean","claims","acc_cla_ethnic_grp1_snz_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
20,"acc_clean","claims","acc_cla_ethnic_grp2_snz_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
21,"acc_clean","claims","acc_cla_ethnic_grp3_snz_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
22,"acc_clean","claims","acc_cla_ethnic_grp4_snz_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
23,"acc_clean","claims","acc_cla_ethnic_grp5_snz_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
24,"acc_clean","claims","acc_cla_ethnic_grp6_snz_ind","bit",1,1,1,1,"ACC Injury claims","ACC",NA
25,"acc_clean","claims","acc_cla_ethnic1_snz_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
26,"acc_clean","claims","acc_cla_ethnic1_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
27,"acc_clean","claims","acc_cla_ethnic2_snz_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
28,"acc_clean","claims","acc_cla_ethnic2_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
29,"acc_clean","claims","acc_cla_ethnic3_snz_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
30,"acc_clean","claims","acc_cla_ethnic3_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
31,"acc_clean","claims","acc_cla_external_agency_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
32,"acc_clean","claims","acc_cla_fatal_ind","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
33,"acc_clean","claims","acc_cla_fund_account_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
34,"acc_clean","claims","acc_cla_gradual_process_ind","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
35,"acc_clean","claims","acc_cla_ICD10_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
36,"acc_clean","claims","acc_cla_ICD9_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
37,"acc_clean","claims","acc_cla_industry_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
38,"acc_clean","claims","acc_cla_industry_desc_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
39,"acc_clean","claims","acc_cla_injury_cause_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
40,"acc_clean","claims","acc_cla_injury_contact_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
41,"acc_clean","claims","acc_cla_lodgement_date","date",1,1,1,1,"ACC Injury claims","ACC",NA
42,"acc_clean","claims","acc_cla_meshblock_code","char",1,1,1,1,"ACC Injury claims","ACC",NA
43,"acc_clean","claims","acc_cla_meshblock_imputed_ind","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
44,"acc_clean","claims","acc_cla_occupation_level1_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
45,"acc_clean","claims","acc_cla_occupation_level5_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
46,"acc_clean","claims","acc_cla_primary_diagnosis_group_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
47,"acc_clean","claims","acc_cla_primary_diagnosis_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
48,"acc_clean","claims","acc_cla_primary_injury_body_side_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
49,"acc_clean","claims","acc_cla_primary_injury_site_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
50,"acc_clean","claims","acc_cla_prioritised_ethnic_snz_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
51,"acc_clean","claims","acc_cla_prioritised_ethnic_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
52,"acc_clean","claims","acc_cla_read_code","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
53,"acc_clean","claims","acc_cla_read_code_text","varchar",1,1,1,1,"ACC Injury claims","ACC",NA
